,Layer,epoch,Loss,Val_Loss,Sample Size
0,"306,300,200.0,150,200.0,300,306",1,0.003296858884817826,0.0021608605246138785,20.0%
1,"306,300,200.0,150,200.0,300,306",2,0.0015245815800085675,0.0017307052365668476,20.0%
2,"306,300,200.0,150,200.0,300,306",3,0.0012056287864881789,0.0011546357937375442,20.0%
3,"306,300,200.0,150,200.0,300,306",4,0.0010606074818116332,0.0010805892269849986,20.0%
4,"306,300,200.0,150,200.0,300,306",5,0.0010018822946997127,0.0009628982809369106,20.0%
5,"306,300,200.0,150,200.0,300,306",6,0.0009414981379236648,0.0008961542323700353,20.0%
6,"306,300,200.0,150,200.0,300,306",7,0.000928305467083542,0.0011661717641046748,20.0%
7,"306,300,200.0,150,200.0,300,306",8,0.0009012741039627671,0.0009158712248253518,20.0%
8,"306,300,200.0,150,200.0,300,306",9,0.0008784140415566144,0.000888358802322005,20.0%
9,"306,300,200.0,150,200.0,300,306",10,0.0008653901689130875,0.0009380497666711822,20.0%
10,"306,300,200.0,150,200.0,300,306",11,0.000852228863768358,0.001038304268847209,20.0%
11,"306,300,200.0,150,200.0,300,306",12,0.0008346184193955961,0.0009091924313888433,20.0%
12,"306,300,200.0,150,200.0,300,306",13,0.0008066521566000467,0.0008627778170952477,20.0%
13,"306,300,200.0,150,200.0,300,306",14,0.0008114859007068062,0.000818770722979787,20.0%
14,"306,300,200.0,150,200.0,300,306",15,0.0007722405100754198,0.0007875977202485199,20.0%
15,"306,300,200.0,150,200.0,300,306",16,0.0008066269575607783,0.0007673365199721795,20.0%
16,"306,300,200.0,150,200.0,300,306",17,0.000778116737175062,0.0008426924361478455,20.0%
17,"306,300,200.0,150,200.0,300,306",18,0.0008092503790558522,0.0009077965424037817,20.0%
18,"306,300,200.0,150,200.0,300,306",19,0.0007305454170753356,0.0007837615901089424,20.0%
19,"306,300,200.0,150,200.0,300,306",20,0.0007553706265177514,0.0007891647594858513,20.0%
0,"306,300,200.0,150,200.0,300,306",1,0.0025597568306389962,0.0012889965975636125,40.0%
1,"306,300,200.0,150,200.0,300,306",2,0.001077230379645357,0.0011931882733255746,40.0%
2,"306,300,200.0,150,200.0,300,306",3,0.0009111934376652254,0.0010149505398686907,40.0%
3,"306,300,200.0,150,200.0,300,306",4,0.0008360135774848573,0.0010358238722759905,40.0%
4,"306,300,200.0,150,200.0,300,306",5,0.0007710925386549792,0.0007582840162868899,40.0%
5,"306,300,200.0,150,200.0,300,306",6,0.0007574534197622282,0.0006788063154415379,40.0%
6,"306,300,200.0,150,200.0,300,306",7,0.0007282417089908155,0.0007654827402594784,40.0%
7,"306,300,200.0,150,200.0,300,306",8,0.0007363931891833494,0.0007656277048715725,40.0%
8,"306,300,200.0,150,200.0,300,306",9,0.0007239522303075718,0.0007223297715783692,40.0%
9,"306,300,200.0,150,200.0,300,306",10,0.0007204857781327016,0.0006339293510349125,40.0%
