,Layer,epoch,Acc,Val_Acc,Loss,Val_Loss,Sample Size
0,"150,16,1",1,0.6681147383888073,0.683699540112417,0.6372714390741296,0.6191578617982859,20.0%
1,"150,16,1",2,0.6799974445793139,0.6831885539090444,0.6259226365332511,0.6126566084295009,20.0%
2,"150,16,1",3,0.6820417811282182,0.6803781297904956,0.6222749944846029,0.6174673676247127,20.0%
3,"150,16,1",4,0.6808918418194595,0.6806336228921819,0.6211836868061134,0.6108713964448635,20.0%
4,"150,16,1",5,0.6849805149172683,0.6839550332141032,0.6163412451987783,0.6092790813091523,20.0%
5,"150,16,1",6,0.682233437679678,0.6865099642309658,0.6185265745300534,0.6059114409455488,20.0%
6,"150,16,1",7,0.6817862390596052,0.6829330608073582,0.6156120406247051,0.6095273777362822,20.0%
7,"150,16,1",8,0.6874720500862455,0.6872764435360246,0.6150076180546077,0.6020999803309179,20.0%
8,"150,16,1",9,0.6861943397431802,0.6882984159427695,0.6140294628334313,0.6030433011956524,20.0%
9,"150,16,1",10,0.6868331949147128,0.6875319366377107,0.612539146374203,0.6029185751109447,20.0%
10,"150,16,1",11,0.6881109052577781,0.6903423607562595,0.6110936331229568,0.6030877257069581,20.0%
11,"150,16,1",12,0.6837028045742031,0.6944302503832397,0.6128752680470035,0.6010257915142061,20.0%
12,"150,16,1",13,0.6887497604293107,0.6854879918242207,0.608527945111234,0.6042717244165797,20.0%
13,"150,16,1",14,0.6852999425030346,0.6911088400613183,0.6107902516231501,0.5977854814283325,20.0%
14,"150,16,1",15,0.68932473008369,0.6921308124680634,0.6096685293276287,0.6001561936000567,20.0%
15,"150,16,1",16,0.6877275921548585,0.685743484925907,0.6097836527974128,0.6011293972549722,20.0%
16,"150,16,1",17,0.6874081645690922,0.686765457332652,0.6090318398975088,0.6046165697539285,20.0%
17,"150,16,1",18,0.6880470197406248,0.686765457332652,0.6072451644284058,0.6005154845205326,20.0%
18,"150,16,1",19,0.6868970804318661,0.6893203883495146,0.6082378190782118,0.6019194616793855,20.0%
19,"150,16,1",20,0.6854277135373411,0.6905978538579458,0.6083802713861498,0.6015186848144599,20.0%
0,"150,16,1",1,0.6735873766269398,0.68314807717639,0.6265057904122413,0.6082840455633874,40.0%
1,"150,16,1",2,0.6822435876960424,0.684553468769593,0.6140450474733813,0.5999915670188006,40.0%
2,"150,16,1",3,0.6826588302954485,0.6834036029206088,0.6106920668668313,0.5992229131045768,40.0%
